Date,rolling_avg_7_days
12-02-2020,7
13-02-2020,3
14-02-2020,2
15-02-2020,1
16-02-2020,1
17-02-2020,1
18-02-2020,1
19-02-2020,0
20-02-2020,0
21-02-2020,0
22-02-2020,0
23-02-2020,0
24-02-2020,0
25-02-2020,0
26-02-2020,0
27-02-2020,0
28-02-2020,0
29-02-2020,0
01-03-2020,0
02-03-2020,0
03-03-2020,1
04-03-2020,1
05-03-2020,1
06-03-2020,3
07-03-2020,3
08-03-2020,3
09-03-2020,4
10-03-2020,4
11-03-2020,9
12-03-2020,11
13-03-2020,13
14-03-2020,18
15-03-2020,21
16-03-2020,26
17-03-2020,35
18-03-2020,44
19-03-2020,59
20-03-2020,76
21-03-2020,95
22-03-2020,121
23-03-2020,151
24-03-2020,191
25-03-2020,238
26-03-2020,281
27-03-2020,336
28-03-2020,374
29-03-2020,412
30-03-2020,451
31-03-2020,480
01-04-2020,525
02-04-2020,564
03-04-2020,593
04-04-2020,617
05-04-2020,610
06-04-2020,617
07-04-2020,603
08-04-2020,551
09-04-2020,500
10-04-2020,446
11-04-2020,411
12-04-2020,399
13-04-2020,394
14-04-2020,393
15-04-2020,395
16-04-2020,391
17-04-2020,385
18-04-2020,376
19-04-2020,369
20-04-2020,329
21-04-2020,309
22-04-2020,293
23-04-2020,281
24-04-2020,278
25-04-2020,271
26-04-2020,252
27-04-2020,224
28-04-2020,200
29-04-2020,183
30-04-2020,162
01-05-2020,143
02-05-2020,124
03-05-2020,109
04-05-2020,101
05-05-2020,91
06-05-2020,73
07-05-2020,70
08-05-2020,59
09-05-2020,47
10-05-2020,42
11-05-2020,42
12-05-2020,40
13-05-2020,38
14-05-2020,34
15-05-2020,29
16-05-2020,26
17-05-2020,24
18-05-2020,22
19-05-2020,20
20-05-2020,20
21-05-2020,16
22-05-2020,16
23-05-2020,17
24-05-2020,17
25-05-2020,17
26-05-2020,16
27-05-2020,20
28-05-2020,23
29-05-2020,32
30-05-2020,45
31-05-2020,49
01-06-2020,59
02-06-2020,70
03-06-2020,81
04-06-2020,89
05-06-2020,98
06-06-2020,100
07-06-2020,107
08-06-2020,115
09-06-2020,126
10-06-2020,133
11-06-2020,154
12-06-2020,161
13-06-2020,169
14-06-2020,179
15-06-2020,179
16-06-2020,182
17-06-2020,200
18-06-2020,204
19-06-2020,220
20-06-2020,238
21-06-2020,240
22-06-2020,245
23-06-2020,266
24-06-2020,288
25-06-2020,319
26-06-2020,349
27-06-2020,371
28-06-2020,405
29-06-2020,434
30-06-2020,494
01-07-2020,542
02-07-2020,611
03-07-2020,702
04-07-2020,771
05-07-2020,831
06-07-2020,895
07-07-2020,949
08-07-2020,1034
09-07-2020,1085
10-07-2020,1138
11-07-2020,1205
12-07-2020,1255
13-07-2020,1313
14-07-2020,1397
15-07-2020,1427
16-07-2020,1505
17-07-2020,1565
18-07-2020,1593
19-07-2020,1632
20-07-2020,1601
21-07-2020,1625
22-07-2020,1682
23-07-2020,1707
24-07-2020,1714
25-07-2020,1746
26-07-2020,1698
27-07-2020,1702
28-07-2020,1725
29-07-2020,1742
30-07-2020,1729
31-07-2020,1700
01-08-2020,1633
02-08-2020,1564
03-08-2020,1516
04-08-2020,1481
05-08-2020,1424
06-08-2020,1386
07-08-2020,1370
08-08-2020,1428
09-08-2020,1446
10-08-2020,1477
11-08-2020,1463
12-08-2020,1477
13-08-2020,1467
14-08-2020,1462
15-08-2020,1409
16-08-2020,1409
17-08-2020,1430
18-08-2020,1422
19-08-2020,1397
20-08-2020,1400
21-08-2020,1377
22-08-2020,1392
23-08-2020,1386
24-08-2020,1371
25-08-2020,1407
26-08-2020,1451
27-08-2020,1500
28-08-2020,1589
29-08-2020,1637
30-08-2020,1666
31-08-2020,1685
01-09-2020,1724
02-09-2020,1766
03-09-2020,1939
04-09-2020,2018
05-09-2020,2131
06-09-2020,2216
07-09-2020,2370
08-09-2020,2543
09-09-2020,2720
10-09-2020,2835
11-09-2020,3049
12-09-2020,3242
13-09-2020,3416
14-09-2020,3559
15-09-2020,3762
16-09-2020,4055
17-09-2020,4137
18-09-2020,4312
19-09-2020,4507
20-09-2020,4663
21-09-2020,4578
22-09-2020,4443
23-09-2020,4656
24-09-2020,5025
25-09-2020,5437
26-09-2020,5875
27-09-2020,6171
28-09-2020,6294
29-09-2020,5906
30-09-2020,5616
01-10-2020,5891
02-10-2020,5814
03-10-2020,5624
04-10-2020,5154
05-10-2020,5082
06-10-2020,5734
07-10-2020,5696
08-10-2020,4993
09-10-2020,4425
10-10-2020,3838
11-10-2020,3599
12-10-2020,3414
13-10-2020,3050
14-10-2020,2709
15-10-2020,2417
16-10-2020,2110
17-10-2020,1901
18-10-2020,1829
19-10-2020,1726
20-10-2020,1489
21-10-2020,1326
22-10-2020,1190
23-10-2020,1107
24-10-2020,1014
25-10-2020,991
26-10-2020,945
27-10-2020,855
28-10-2020,811
29-10-2020,748
30-10-2020,692
31-10-2020,668
01-11-2020,665
02-11-2020,673
03-11-2020,660
04-11-2020,654
05-11-2020,660
06-11-2020,649
07-11-2020,651
08-11-2020,648
09-11-2020,631
10-11-2020,621
11-11-2020,596
12-11-2020,596
13-11-2020,634
14-11-2020,644
15-11-2020,655
16-11-2020,668
17-11-2020,690
18-11-2020,712
19-11-2020,717
20-11-2020,707
21-11-2020,709
22-11-2020,728
23-11-2020,747
24-11-2020,760
25-11-2020,764
26-11-2020,805
27-11-2020,850
28-11-2020,887
29-11-2020,910
30-11-2020,948
01-12-2020,990
02-12-2020,1038
03-12-2020,1111
04-12-2020,1163
05-12-2020,1232
06-12-2020,1292
07-12-2020,1340
08-12-2020,1427
09-12-2020,1509
10-12-2020,1549
11-12-2020,1628
12-12-2020,1674
13-12-2020,1716
14-12-2020,1768
15-12-2020,1833
16-12-2020,1994
17-12-2020,2136
18-12-2020,2256
19-12-2020,2394
20-12-2020,2478
21-12-2020,2674
22-12-2020,2895
23-12-2020,3108
24-12-2020,3278
25-12-2020,3450
26-12-2020,3624
27-12-2020,3735
28-12-2020,3797
29-12-2020,4035
30-12-2020,4215
31-12-2020,4476
01-01-2021,4737
02-01-2021,5024
03-01-2021,5247
04-01-2021,5491
05-01-2021,5905
06-01-2021,6279
07-01-2021,6568
08-01-2021,6824
09-01-2021,7132
10-01-2021,7267
11-01-2021,7513
12-01-2021,7701
13-01-2021,7853
14-01-2021,8082
15-01-2021,8317
16-01-2021,8355
17-01-2021,8344
18-01-2021,8158
19-01-2021,8215
20-01-2021,8119
21-01-2021,7960
22-01-2021,7671
23-01-2021,7522
24-01-2021,7145
25-01-2021,7042
26-01-2021,6843
27-01-2021,6725
28-01-2021,6637
29-01-2021,6625
30-01-2021,6536
31-01-2021,6562
01-02-2021,6604
02-02-2021,6634
03-02-2021,6664
04-02-2021,6624
05-02-2021,6633
06-02-2021,6608
07-02-2021,6613
08-02-2021,6522
09-02-2021,6367
10-02-2021,6101
11-02-2021,5845
12-02-2021,5523
13-02-2021,5248
14-02-2021,5137
15-02-2021,4977
16-02-2021,4595
17-02-2021,4367
18-02-2021,4150
19-02-2021,3909
20-02-2021,3783
21-02-2021,3692
22-02-2021,3639
23-02-2021,3585
24-02-2021,3566
25-02-2021,3596
26-02-2021,3665
27-02-2021,3669
28-02-2021,3696
01-03-2021,3688
02-03-2021,3695
03-03-2021,3685
04-03-2021,3728
05-03-2021,3705
06-03-2021,3690
07-03-2021,3752
08-03-2021,3650
09-03-2021,3497
10-03-2021,3318
11-03-2021,3056
12-03-2021,2897
13-03-2021,2710
14-03-2021,2555
15-03-2021,2417
16-03-2021,2179
17-03-2021,1955
18-03-2021,1769
19-03-2021,1583
20-03-2021,1393
21-03-2021,1331
22-03-2021,1229
23-03-2021,1065
24-03-2021,940
25-03-2021,788
26-03-2021,730
27-03-2021,650
28-03-2021,633
29-03-2021,554
30-03-2021,466
31-03-2021,430
01-04-2021,433
02-04-2021,360
03-04-2021,345
04-04-2021,330
05-04-2021,340
06-04-2021,343
07-04-2021,323
08-04-2021,292
09-04-2021,274
10-04-2021,247
11-04-2021,241
12-04-2021,233
13-04-2021,210
14-04-2021,195
15-04-2021,183
16-04-2021,167
17-04-2021,150
18-04-2021,150
19-04-2021,150
20-04-2021,137
21-04-2021,132
22-04-2021,120
23-04-2021,125
24-04-2021,125
25-04-2021,118
26-04-2021,109
27-04-2021,104
28-04-2021,93
29-04-2021,91
30-04-2021,85
01-05-2021,81
02-05-2021,77
03-05-2021,74
04-05-2021,70
05-05-2021,66
06-05-2021,62
07-05-2021,56
08-05-2021,49
