Date,daily_new_cases
12-02-2020,0
13-02-2020,0
14-02-2020,0
15-02-2020,0
16-02-2020,0
17-02-2020,0
18-02-2020,0
19-02-2020,0
20-02-2020,0
21-02-2020,1
22-02-2020,0
23-02-2020,0
24-02-2020,1
25-02-2020,0
26-02-2020,0
27-02-2020,1
28-02-2020,3
29-02-2020,0
01-03-2020,1
02-03-2020,5
03-03-2020,3
04-03-2020,0
05-03-2020,9
06-03-2020,4
07-03-2020,4
08-03-2020,9
09-03-2020,4
10-03-2020,33
11-03-2020,19
12-03-2020,22
13-03-2020,35
14-03-2020,29
15-03-2020,40
16-03-2020,73
17-03-2020,94
18-03-2020,125
19-03-2020,136
20-03-2020,168
21-03-2020,211
22-03-2020,254
23-03-2020,352
24-03-2020,423
25-03-2020,425
26-03-2020,520
27-03-2020,434
28-03-2020,479
29-03-2020,530
30-03-2020,551
31-03-2020,739
01-04-2020,704
02-04-2020,723
03-04-2020,602
04-04-2020,428
05-04-2020,584
06-04-2020,451
07-04-2020,377
08-04-2020,341
09-04-2020,341
10-04-2020,357
11-04-2020,345
12-04-2020,552
13-04-2020,438
14-04-2020,396
15-04-2020,311
16-04-2020,297
17-04-2020,298
18-04-2020,291
19-04-2020,276
20-04-2020,299
21-04-2020,280
22-04-2020,226
23-04-2020,276
24-04-2020,249
25-04-2020,159
26-04-2020,83
27-04-2020,127
28-04-2020,161
29-04-2020,82
30-04-2020,143
01-05-2020,116
02-05-2020,57
03-05-2020,27
04-05-2020,55
05-05-2020,33
06-05-2020,65
07-05-2020,61
08-05-2020,33
09-05-2020,20
10-05-2020,29
11-05-2020,39
12-05-2020,23
13-05-2020,39
14-05-2020,22
15-05-2020,12
16-05-2020,5
17-05-2020,15
18-05-2020,27
19-05-2020,22
20-05-2020,15
21-05-2020,18
22-05-2020,19
23-05-2020,5
24-05-2020,13
25-05-2020,22
26-05-2020,50
27-05-2020,40
28-05-2020,77
29-05-2020,113
30-05-2020,29
31-05-2020,87
01-06-2020,100
02-06-2020,121
03-06-2020,97
04-06-2020,142
05-06-2020,127
06-06-2020,78
07-06-2020,140
08-06-2020,179
09-06-2020,174
10-06-2020,241
11-06-2020,192
12-06-2020,184
13-06-2020,149
14-06-2020,137
15-06-2020,200
16-06-2020,299
17-06-2020,272
18-06-2020,303
19-06-2020,311
20-06-2020,161
21-06-2020,174
22-06-2020,344
23-06-2020,453
24-06-2020,487
25-06-2020,516
26-06-2020,464
27-06-2020,397
28-06-2020,383
29-06-2020,759
30-06-2020,791
01-07-2020,972
02-07-2020,1152
03-07-2020,943
04-07-2020,822
05-07-2020,830
06-07-2020,1134
07-07-2020,1390
08-07-2020,1328
09-07-2020,1525
10-07-2020,1410
11-07-2020,1168
12-07-2020,1239
13-07-2020,1719
14-07-2020,1604
15-07-2020,1876
16-07-2020,1939
17-07-2020,1606
18-07-2020,1447
19-07-2020,1016
20-07-2020,1888
21-07-2020,2008
22-07-2020,2045
23-07-2020,1990
24-07-2020,1831
25-07-2020,1112
26-07-2020,1042
27-07-2020,2050
28-07-2020,2125
29-07-2020,1957
30-07-2020,1789
31-07-2020,1361
01-08-2020,626
02-08-2020,708
03-08-2020,1802
04-08-2020,1729
05-08-2020,1691
06-08-2020,1677
07-08-2020,1765
08-08-2020,755
09-08-2020,924
10-08-2020,1704
11-08-2020,1824
12-08-2020,1622
13-08-2020,1644
14-08-2020,1390
15-08-2020,757
16-08-2020,1071
17-08-2020,1651
18-08-2020,1650
19-08-2020,1640
20-08-2020,1486
21-08-2020,1495
22-08-2020,711
23-08-2020,965
24-08-2020,1902
25-08-2020,1959
26-08-2020,1986
27-08-2020,2108
28-08-2020,1834
29-08-2020,909
30-08-2020,1101
31-08-2020,2175
01-09-2020,2253
02-09-2020,3194
03-09-2020,2664
04-09-2020,2624
05-09-2020,1504
06-09-2020,2176
07-09-2020,3391
08-09-2020,3491
09-09-2020,3996
10-09-2020,4163
11-09-2020,3977
12-09-2020,2719
13-09-2020,3176
14-09-2020,4814
15-09-2020,5542
16-09-2020,4574
17-09-2020,5387
18-09-2020,5340
19-09-2020,3811
20-09-2020,2578
21-09-2020,3874
22-09-2020,7031
23-09-2020,7156
24-09-2020,8274
25-09-2020,8401
26-09-2020,5883
27-09-2020,3443
28-09-2020,1159
29-09-2020,4997
30-09-2020,9081
01-10-2020,7739
02-10-2020,7068
03-10-2020,2595
04-10-2020,2940
05-10-2020,5723
06-10-2020,4726
07-10-2020,4166
08-10-2020,3757
09-10-2020,2965
10-10-2020,916
11-10-2020,1649
12-10-2020,3172
13-10-2020,2338
14-10-2020,2122
15-10-2020,1613
16-10-2020,1501
17-10-2020,412
18-10-2020,925
19-10-2020,1518
20-10-2020,1195
21-10-2020,1171
22-10-2020,1033
23-10-2020,850
24-10-2020,248
25-10-2020,606
26-10-2020,886
27-10-2020,888
28-10-2020,725
29-10-2020,647
30-10-2020,681
31-10-2020,228
01-11-2020,658
02-11-2020,793
03-11-2020,847
04-11-2020,771
05-11-2020,570
06-11-2020,691
07-11-2020,212
08-11-2020,535
09-11-2020,722
10-11-2020,675
11-11-2020,767
12-11-2020,837
13-11-2020,761
14-11-2020,292
15-11-2020,628
16-11-2020,874
17-11-2020,830
18-11-2020,799
19-11-2020,771
20-11-2020,773
21-11-2020,424
22-11-2020,763
23-11-2020,962
24-11-2020,860
25-11-2020,1082
26-11-2020,1090
27-11-2020,1034
28-11-2020,583
29-11-2020,1025
30-11-2020,1258
01-12-2020,1200
02-12-2020,1589
03-12-2020,1455
04-12-2020,1517
05-12-2020,1001
06-12-2020,1365
07-12-2020,1866
08-12-2020,1772
09-12-2020,1868
10-12-2020,2011
11-12-2020,1837
12-12-2020,1298
13-12-2020,1729
14-12-2020,2322
15-12-2020,2895
16-12-2020,2862
17-12-2020,2853
18-12-2020,2799
19-12-2020,1890
20-12-2020,3103
21-12-2020,3867
22-12-2020,4386
23-12-2020,4053
24-12-2020,4057
25-12-2020,4018
26-12-2020,2663
27-12-2020,3537
28-12-2020,5535
29-12-2020,5643
30-12-2020,5879
31-12-2020,5885
01-01-2021,6030
02-01-2021,4225
03-01-2021,5246
04-01-2021,8433
05-01-2021,8258
06-01-2021,7901
07-01-2021,7678
08-01-2021,8183
09-01-2021,5170
10-01-2021,6973
11-01-2021,9749
12-01-2021,9323
13-01-2021,9499
14-01-2021,9322
15-01-2021,8451
16-01-2021,5094
17-01-2021,5674
18-01-2021,10144
19-01-2021,8655
20-01-2021,8384
21-01-2021,7297
22-01-2021,7409
23-01-2021,2453
24-01-2021,4957
25-01-2021,8746
26-01-2021,7834
27-01-2021,7768
28-01-2021,7211
29-01-2021,6789
30-01-2021,2629
31-01-2021,5253
01-02-2021,8958
02-02-2021,8044
03-02-2021,7486
04-02-2021,7277
05-02-2021,6612
06-02-2021,2662
07-02-2021,4617
08-02-2021,7873
09-02-2021,6181
10-02-2021,5693
11-02-2021,5028
12-02-2021,4682
13-02-2021,1891
14-02-2021,3493
15-02-2021,5201
16-02-2021,4585
17-02-2021,4173
18-02-2021,3342
19-02-2021,3801
20-02-2021,1255
21-02-2021,3116
22-02-2021,4823
23-02-2021,4454
24-02-2021,4384
25-02-2021,3826
26-02-2021,3826
27-02-2021,1443
28-02-2021,3064
01-03-2021,4872
02-03-2021,4386
03-03-2021,4679
04-03-2021,3666
05-03-2021,3720
06-03-2021,1877
07-03-2021,2351
08-03-2021,3801
09-03-2021,3135
